ID,Description,Chinese,English,Japanese
1003,StartButtonText_Text,开始,start,スタート
1004,NameText_TMP,新游戏,NewGame,新しいゲーム
1005,ContinueNameText_TMP,继续游戏,Continue,続きから
1006,LanguageIconText_TMP,语言设置,Language,言語設定
1007,DisplayIconText_TMP,显示设置,Display,ディスプレイの設定
1008,CreditsIconText_TMP,制作人员,Credits,スタッフ
1010,CreditsTextProgram_TMP,程序：Alexa,Program:Alexa,プログラム：Alexa
1011,CreditsTextArt_TMP,美工：Alexa,Art:Alexa,アート：Alexa
1012,CreditsTextDesign_TMP,策划：Alexa,Design:Alexa,デザイン：Alexa
1013,CreditsTextAudio_TMP,音效：Alexa,Audio:Alexa,サウンド：Alexa
1014,credits's title,制作人员,Credits,スタッフ
1015,StartButtonText_TMP,开始,start,スタート
1016,Title_TMP,语言设置,Language,言語設定
1017,FullText_TMP,是否全屏,FullScreen,フルスクリーン表示
1018,Title_TMP,显示设置,DisplaySettings,ディスプレイの設定
1019,DialogueSpeedSliderText_TMP,对话速度,DialogueSpeed,会話速度
1020,Stage1Icon,我的电脑,MyComputer,マイ コンピュータ
1021,Stage1Icon,安全卫士,Guardian,セキュリティ センター
1022,StartButtonText_TMP,开始,start,スタート
1023,Title_TMP,访问被拒绝,Access Denied,アクセス拒否
1024,Text (TMP)_TMP,这里暂时没有可看的内容，去别处探索一下吧。,"Nothing to see here right now, try exploring somewhere else.",ここには今は見るものがありません。別の場所を探検してみましょう。
1025,常规tab,常规,General,全般
1026,Text (TMP)_TMP,确定,OK,オーケー
1027,Text (TMP)_TMP,取消,Cancel,キャンセル
1028,Text (TMP)_TMP,应用,Apply,適用
1032,Text (TMP)_TMP,属性,Attributes,属性
1033,Text (TMP)_TMP,只读,Read-only,読み取り専用
1034,Text (TMP) (1)_TMP,隐藏,Hidden,隠し
1036,Text (TMP)_TMP,解锁,Unlock,アンロック
1037,Type_TMP,类型:            文件夹,Type:       Folder,種類:           フォルダー
1038,Location_TMP,位置:            D:\Files,Location: D:\Files,場所:           D:\Files
1039,Size_TMP,"大小:            2.33GB(2,501,818,450字节)","Size:        2.33GB(2,501,818,450bytes)","サイズ:         2.33GB(2,501,818,450バイト)"
1040,Created_TMP,创建时间:       2002年9月2日,"Created:  Sept. 2, 2002",作成日時:       2002年9月2日
1041,Title_TMP,Works-属性,Works-Stats,Works-属性
1042,Text (TMP)_TMP,文件夹拒绝访问,AccessDenied,アクセス拒否
2020,右键菜单属性,属性,Properties,プロパティ
1043,MainMenuText_TMP,返回主菜单,MainMenu,メイン メニューに戻る
1044,NewGameText_TMP,新游戏,NewGame,新しいゲーム
1045,ContinueText_TMP,继续游戏,Continue,続きから
1046,LanguageText_TMP,语言设置,Language,言語設定
1047,DisplayText_TMP,显示设置,Display,ディスプレイの設定
1048,CreditsText_TMP,制作人员,Credits,スタッフ
1049,ShutdownText_TMP,关机,Shutdown,シャットダウン
2021,右键菜单打开,打开,Open,開く
1050,Title_TMP,刀.jpg-属性,Knife.jpg-stats,刀.jpg-属性
1051,Text (TMP)_TMP,详细信息,Details,詳細
1052,WorksTItle_TMP,刀.jpg,Knife.jpg,刀.jpg
1053,Type_TMP,类型：       JPEG图像(.jpg),Type:         JPEG Image (.jpg),種類:          JPEG 画像 (.jpg)
1054,Location_TMP,位置：       D:\Files\Works\刀.jpg,Location:   D:\Files\Works\knife.jpg,場所:          D:\Files\Works\刀.jpg
1055,Size_TMP,"大小：       184 KB (188,416 bytes)","Size:          184 KB (188,416 bytes)","サイズ:      184 KB (188,416 バイト)"
1056,Created_TMP,"创建时间：2025年3月11日, 09:12:47","Created:     March 11, 2025, 09:12:47",作成日時:   2025年3月11日 9:12:47
1057,Type_TMP,分辨率：   64x64,Resolution:     64x64,解像度:           64x64
1058,Location_TMP,位深度：   24,Bit Depth:       24,ビットの深さ:  24
1059,dpi_TMP,水平/垂直分辨率：96dpi,Horizontal/Vertical Resolution:  96 dpi,水平方向/垂直方向の解像度:  96 dpi
1060,Size_TMP,创建程序：Adobe Photoshop CS2,Creating Application:  Adobe Photoshop CS2,作成プログラム:     Adobe Photoshop CS2
1061,Created_TMP,相机制造商：-,Camera Manufacturer:    -,カメラ製造元:        -
1062,EXIF_TMP,EXIF Version： 0221,EXIF Version:   0221,EXIF バージョン:    0221
1063,Color_TMP,色彩空间： sRGB,Color Space:            sRGB,色空間:             sRGB
1064,Text (TMP)_TMP,文件已损坏,This file is corrupted.,ファイルが破損しています。
1065,Title_TMP,文件已损坏,This file is corrupted.,ファイルが破損しています。
1066,Title_TMP,刀.jpg,Knife.jpg,刀.jpg
1067,NameText_TMP,返回上一级,Up,戻る
1068,NameText_TMP,返回上一级,Up,戻る
1069,NameText_TMP,返回上一级,Up,戻る
1070,NameText_TMP,返回上一级,Up,戻る
1071,NameText_TMP,返回上一级,Up,戻る
1072,NameText_TMP,迅雷,Thunder,
1073,NameText_TMP,控制面板,ControlPanel,
1074,NameText_TMP,IE浏览器,InternetExplorer,
1075,NameText_TMP,注册表工具,Registry,
1076,NameText_TMP,记事本,Notepad,
1077,NameText_TMP,染血的回收站,RecycleBin-Blooded,
1078,NameText_TMP,刀.jpg,Knife.jpg,刀.jpg
1079,NameText_TMP,告别.txt,Goodbye.txt,告別.txt
1080,NameText_TMP,扫雷,MineSweeper,マインスイーパー
1081,WorksTItle_TMP,告别.txt,Goodbye.txt,告別.txt
1082,Type_TMP,类型：        文本文档 (.txt),Type:         Text Document (.txt),種類:         テキスト ドキュメント (.txt)
1083,Location_TMP,位置：        D:\Files\Works\,Location:   D:\Files\Works\,場所:         D:\Files\Works\
1084,Size_TMP,"大小：        2.00 MB (2,097,152 字节)","Size:          2.00 MB (2,097,152 bytes)","サイズ:       2.00 MB (2,097,152 バイト)"
1085,Created_TMP,"创建时间： 2025年3月11日, 16:30:32","Created:    March 11, 2025, 16:30:32","作成日時： 2025年3月11日, 16:30:32"
1086,Title_TMP,告别.txt-属性,Goodbye.txt-stats,告別.txt-属性
1087,Title_TMP,告别.txt,Goodbye.txt,告別.txt
1088,123,染血的回收站-属性,Recyclebin_Blooded-stats,
1089,123,染血的回收站,Recyclebin_Blooded,
1088,Type_TMP,类型：      快捷方式(.lnk),Type:         Shortcut (.lnk),種類:         ショートカット (.lnk)
1089,Location_TMP,位置：      D:\Files\Works\,Location:   D:\Files\Works\,場所:          D:\Files\Works\
1090,Target_TMP,目标：      目标已丢失（Target missing）,Target:     The target file could not be located,目標:  ターゲットファイルを特定できません
1091,StartIn_TMP,起始位置：-,Start In:     -,スダットイン: -
